Date,Open,High,Low,Close,Adj Close,Volume
2019-08-06,8.610000,8.660000,8.450000,8.600000,8.176204,16253000
2019-08-07,8.520000,8.790000,8.440000,8.760000,8.328320,22766400
2019-08-08,8.850000,8.940000,8.750000,8.880000,8.442408,18694700
2019-08-09,8.850000,8.930000,8.670000,8.720000,8.290290,14294100
2019-08-12,8.350000,8.530000,8.300000,8.450000,8.033596,8688100
2019-08-13,8.390000,8.730000,8.370000,8.570000,8.147681,16604100
2019-08-14,8.300000,8.420000,8.160000,8.210000,7.805423,17048400
2019-08-15,8.230000,8.340000,8.090000,8.250000,7.843452,14833800
2019-08-16,8.330000,8.370000,8.220000,8.270000,7.862467,9695300
2019-08-19,8.320000,8.370000,7.970000,8.040000,7.643799,15323000
2019-08-20,7.950000,8.110000,7.910000,8.010000,7.615278,13931300
2019-08-21,8.130000,8.230000,8.060000,8.170000,7.767394,13986400
2019-08-22,8.110000,8.200000,8.010000,8.020000,7.624786,8664800
2019-08-23,7.870000,8.010000,7.650000,7.720000,7.339570,16690900
2019-08-26,7.710000,7.770000,7.540000,7.620000,7.244497,10117600
2019-08-27,7.730000,7.790000,7.570000,7.660000,7.282526,15249700
2019-08-28,7.640000,7.740000,7.580000,7.650000,7.273019,9862800
2019-08-29,7.680000,7.830000,7.610000,7.790000,7.406120,8997500
2019-08-30,7.920000,8.030000,7.850000,7.990000,7.596264,24101400
2019-09-03,7.790000,7.930000,7.610000,7.680000,7.305331,16017000
2019-09-04,7.860000,7.890000,7.780000,7.880000,7.495575,11674400
2019-09-05,8.030000,8.320000,8.020000,8.060000,7.666794,13110300
2019-09-06,8.220000,8.450000,8.200000,8.390000,7.980695,22376100
2019-09-09,8.490000,8.660000,8.450000,8.470000,8.056792,21240300
2019-09-10,8.380000,8.470000,8.280000,8.360000,7.952157,14483500
2019-09-11,8.380000,8.480000,8.310000,8.390000,7.980695,10191900
2019-09-12,8.480000,8.480000,8.290000,8.330000,7.923621,13843600
2019-09-13,8.320000,8.350000,8.100000,8.150000,7.752403,15333200
2019-09-16,8.020000,8.150000,7.980000,8.030000,7.638258,13400000
2019-09-17,8.010000,8.240000,7.990000,8.220000,7.818989,12285800
2019-09-18,8.270000,8.310000,8.150000,8.220000,7.818989,9829400
2019-09-19,8.270000,8.320000,8.030000,8.060000,7.666794,8809600
2019-09-20,8.080000,8.180000,8.010000,8.130000,7.733379,17499400
2019-09-23,8.070000,8.160000,7.990000,8.120000,7.723867,10384100
2019-09-24,8.150000,8.160000,8.010000,8.060000,7.666794,8033500
2019-09-25,7.980000,8.160000,7.940000,8.150000,7.752403,5617200
2019-09-26,8.200000,8.320000,8.150000,8.240000,7.838012,9984800
2019-09-27,8.280000,8.310000,8.130000,8.250000,7.847525,7196800
2019-09-30,8.250000,8.250000,8.120000,8.140000,7.742892,5976200
